size,solutionFound,time
4,1,0.00011754035949707031
4,1,0.00010156631469726562
4,1,7.653236389160156e-05
4,1,3.838539123535156e-05
4,1,7.796287536621094e-05
4,1,4.673004150390625e-05
4,0,3.218650817871094e-05
4,0,3.337860107421875e-05
4,1,6.794929504394531e-05
4,0,4.5299530029296875e-05
4,1,6.604194641113281e-05
4,1,4.00543212890625e-05
4,1,8.559226989746094e-05
4,0,2.09808349609375e-05
4,1,7.915496826171875e-05
4,0,3.814697265625e-05
4,1,9.679794311523438e-05
4,0,3.600120544433594e-05
4,0,2.1457672119140625e-05
4,1,6.437301635742188e-05
4,1,6.437301635742188e-05
4,0,2.8371810913085938e-05
4,1,3.910064697265625e-05
4,1,7.200241088867188e-05
4,1,3.7670135498046875e-05
4,1,5.269050598144531e-05
4,1,9.393692016601562e-05
4,1,6.246566772460938e-05
4,0,2.2411346435546875e-05
4,0,3.528594970703125e-05
4,1,7.700920104980469e-05
4,0,4.601478576660156e-05
4,1,0.00011515617370605469
4,1,6.818771362304688e-05
4,0,1.8358230590820312e-05
4,1,9.751319885253906e-05
4,1,8.082389831542969e-05
4,0,3.361701965332031e-05
4,1,7.963180541992188e-05
4,1,0.00011777877807617188
4,0,4.57763671875e-05
4,1,6.0558319091796875e-05
4,1,5.030632019042969e-05
4,1,4.9591064453125e-05
4,1,7.152557373046875e-05
4,0,3.337860107421875e-05
4,1,5.125999450683594e-05
4,0,3.337860107421875e-05
4,0,4.7206878662109375e-05
4,0,4.5299530029296875e-05
4,0,4.3392181396484375e-05
4,0,1.8596649169921875e-05
4,0,1.811981201171875e-05
4,0,3.2901763916015625e-05
4,1,3.814697265625e-05
4,1,9.274482727050781e-05
4,0,3.4809112548828125e-05
4,1,8.678436279296875e-05
4,0,5.054473876953125e-05
4,1,0.00013947486877441406
4,0,7.033348083496094e-05
4,1,6.318092346191406e-05
4,1,0.00010132789611816406
4,0,9.107589721679688e-05
4,1,0.00012803077697753906
4,1,0.00010132789611816406
4,0,3.886222839355469e-05
4,0,4.1961669921875e-05
4,1,5.602836608886719e-05
4,0,5.6743621826171875e-05
4,0,3.981590270996094e-05
4,0,5.1975250244140625e-05
4,1,9.751319885253906e-05
4,1,5.6743621826171875e-05
4,1,7.2479248046875e-05
4,1,9.989738464355469e-05
4,1,6.914138793945312e-05
4,0,4.00543212890625e-05
4,1,5.9604644775390625e-05
4,0,5.054473876953125e-05
4,1,0.00011563301086425781
4,0,5.9604644775390625e-05
4,0,6.318092346191406e-05
4,1,0.0001163482666015625
4,0,5.125999450683594e-05
4,1,6.771087646484375e-05
4,1,6.723403930664062e-05
4,1,0.00011086463928222656
4,1,7.295608520507812e-05
4,1,0.00011968612670898438
4,1,9.72747802734375e-05
4,1,0.00010728836059570312
4,1,8.845329284667969e-05
4,1,5.626678466796875e-05
4,0,7.462501525878906e-05
4,0,8.416175842285156e-05
4,0,6.031990051269531e-05
4,0,5.364418029785156e-05
4,1,9.179115295410156e-05
4,1,8.320808410644531e-05
4,1,8.893013000488281e-05
4,0,7.05718994140625e-05
4,0,5.1975250244140625e-05
4,0,5.1975250244140625e-05
4,0,5.602836608886719e-05
4,0,4.220008850097656e-05
4,1,0.00013589859008789062
4,0,6.389617919921875e-05
4,1,9.918212890625e-05
4,1,0.00010442733764648438
4,1,0.00010085105895996094
4,0,7.534027099609375e-05
4,1,0.00011444091796875
4,0,3.075599670410156e-05
4,1,6.127357482910156e-05
4,0,4.839897155761719e-05
4,0,4.8160552978515625e-05
4,1,5.745887756347656e-05
4,1,8.440017700195312e-05
4,1,0.00011181831359863281
4,1,7.224082946777344e-05
4,1,0.00012636184692382812
4,0,5.221366882324219e-05
4,1,0.0001246929168701172
4,1,0.00011682510375976562
4,1,7.295608520507812e-05
4,0,6.461143493652344e-05
4,1,0.00010085105895996094
4,1,0.000148773193359375
4,0,6.842613220214844e-05
4,0,6.198883056640625e-05
4,1,0.0001163482666015625
4,1,0.00012254714965820312
4,0,5.507469177246094e-05
4,1,0.0001251697540283203
4,1,0.00016021728515625
4,1,0.000110626220703125
4,0,6.937980651855469e-05
4,1,0.00012111663818359375
4,0,5.555152893066406e-05
4,1,5.888938903808594e-05
4,1,8.368492126464844e-05
4,1,7.009506225585938e-05
